Year,Fish Seafood Tonnes
1961,2813910
1962,2872680
1963,2656860
1964,2522230
1965,2649230
1966,2422840
1967,2310410
1968,2413380
1969,2430900
1970,2842950
1971,2908000
1972,2796510
1973,2837670
1974,2894450
1975,2906840
1976,3112150
1977,3049560
1978,3474110
1979,3559970
1980,3707470
1981,3881180
1982,4134630
1983,4415070
1984,5007810
1985,4960690
1986,5196120
1987,5995350
1988,5956750
1989,5777930
1990,5871200
1991,5489870
1992,5604860
1993,5939830
1994,5926740
1995,5638310
1996,5394540
1997,5421800
1998,5154100
1999,5228860
2000,5174470
2001,5424700
2002,5436200
2003,5484920
2004,5567400
2005,5406890
2006,5372250
2007,5293640
2008,4850980
2009,4703280
2010,4808740
2011,5570980
2012,5424750
2013,5525180
2014,5405780
2015,5466270
2016,5348250
2017,5473620
2018,5210540
2019,5290540
2020,5290540
2021,5290540
