"Year","Scenario","Mean_Exports","Mean_Consumption"
2020,"Baseline",4908359.47754674,18.7659836577751
2020,"Extreme_Climate",4908359.47754674,18.7659836577751
2020,"Low_Climate",4908359.47754674,18.7659836577751
2020,"Moderate_Climate",4908359.47754674,18.7659836577751
2021,"Baseline",4906543.33700828,18.747939861219
2021,"Extreme_Climate",4907967.78304674,18.7408978643928
2021,"Low_Climate",4907422.3980852,18.7414017105467
2021,"Moderate_Climate",4907967.78304674,18.7408978643928
2022,"Baseline",4907924.00466533,18.7408905142696
2022,"Extreme_Climate",4909544.34233492,18.7549339908823
2022,"Low_Climate",4909054.71399923,18.7515576079826
2022,"Moderate_Climate",4909544.34233492,18.7549339908823
2023,"Baseline",4908996.63144261,18.7531643066311
2023,"Extreme_Climate",4914381.87376385,18.7579996405458
2023,"Low_Climate",4909483.71033492,18.7555365549849
2023,"Moderate_Climate",4907941.68425146,18.7534810933432
2024,"Baseline",4908954.3992471,18.7531716567543
2024,"Extreme_Climate",4913087.15054633,18.7595988339854
2024,"Low_Climate",4907941.68425146,18.7534810933432
2024,"Moderate_Climate",4912937.35643693,18.7599278506352
2025,"Baseline",4909032.35239902,18.7555634780618
2025,"Extreme_Climate",4908494.49571062,18.7785308488161
2025,"Low_Climate",4912937.35643693,18.7599278506352
2025,"Moderate_Climate",4904046.7715333,18.7716070560289
2026,"Baseline",4907894.8354053,18.7534810933432
2026,"Extreme_Climate",4908487.63040293,18.7774859411597
2026,"Low_Climate",4904046.7715333,18.7716070560289
2026,"Moderate_Climate",4904163.23026105,18.7716628557847
2027,"Baseline",4907993.97861471,18.7540182728303
2027,"Extreme_Climate",4905055.22808786,18.7727244243272
2027,"Low_Climate",4903906.94588925,18.7715070560289
2027,"Moderate_Climate",4908877.55666575,18.7733526229038
2028,"Baseline",4906646.04802496,18.7559698803557
2028,"Extreme_Climate",4900055.26982226,18.7678795234107
2028,"Low_Climate",4908487.63040293,18.7774859411597
2028,"Moderate_Climate",4887730.50927879,18.7627071378723
2029,"Baseline",4912797.53079289,18.7598278506352
2029,"Extreme_Climate",4884383.30896949,18.7667370291357
2029,"Low_Climate",4908877.55666575,18.7733526229038
2029,"Moderate_Climate",4887211.94517622,18.7595214979993
2030,"Baseline",4912797.53079289,18.7598278506352
2030,"Extreme_Climate",4887336.97091776,18.7322558742474
2030,"Low_Climate",4908877.55666575,18.7733526229038
2030,"Moderate_Climate",4887472.48370814,18.7318494313674
2031,"Baseline",4904156.36495336,18.7705378346433
2031,"Extreme_Climate",4879117.92847885,18.7132484615362
2031,"Low_Climate",4903861.90917771,18.7628617930804
2031,"Moderate_Climate",4877597.31736603,18.714958615643
2032,"Baseline",4904156.36495336,18.7705378346433
2032,"Extreme_Climate",4876987.67616928,18.6950751120949
2032,"Low_Climate",4888096.45396329,18.7677365223624
2032,"Moderate_Climate",4876720.59006565,18.7160345458026
2033,"Baseline",4908529.17762088,18.7777551893607
2033,"Extreme_Climate",4876991.99258018,18.6948508565279
2033,"Low_Climate",4884372.19175154,18.767729336828
2033,"Moderate_Climate",4876251.76624706,18.7148685173091
2034,"Baseline",4908743.91477472,18.7778115996171
2034,"Extreme_Climate",4874708.03223507,18.6857830898585
2034,"Low_Climate",4887336.97091776,18.7322558742474
2034,"Moderate_Climate",4876617.99117655,18.7129536368995
2035,"Baseline",4908158.96234032,18.7774449155187
2035,"Extreme_Climate",4871363.07997396,18.6814572864515
2035,"Low_Climate",4877127.65354744,18.7137925871495
2035,"Moderate_Climate",4875586.46913763,18.6859841568459
2036,"Baseline",4908415.24671212,18.7776007152745
2036,"Extreme_Climate",4869279.68720579,18.6859259526621
2036,"Low_Climate",4877104.4929,18.7132584759707
2036,"Moderate_Climate",4875550.96983443,18.6852884238242
2037,"Baseline",4909813.51735934,18.7769862736435
2037,"Extreme_Climate",4869090.40308611,18.684528520833
2037,"Low_Climate",4874619.36203338,18.6952998101361
2037,"Moderate_Climate",4875381.45882887,18.6839783744053
2038,"Baseline",4909699.66975827,18.7770016582589
2038,"Extreme_Climate",4869174.4362094,18.684562495192
2038,"Low_Climate",4873218.15500173,18.6861998805281
2038,"Moderate_Climate",4875216.09294765,18.6825796026713
2039,"Baseline",4909619.30265378,18.7735286290369
2039,"Extreme_Climate",4862663.76004101,18.6844122592564
2039,"Low_Climate",4875198.52615408,18.6853530646682
2039,"Moderate_Climate",4875270.91391132,18.6831325950368
2040,"Baseline",4909619.30265378,18.7735286290369
2040,"Extreme_Climate",4859648.57572339,18.6853153740024
2040,"Low_Climate",4874805.16817502,18.6843051044629
2040,"Moderate_Climate",4870000.54521218,18.6771249961706
