"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test","Species"
"Consumption Model",0.0449648352857071,0.17522396761909,0.99672834489265,0.964852925204653,"Monkfish"
"Consumption Model",0.0731417777954144,0.121873790649271,0.994623730870302,0.977345504106837,"Cucumber_Sea"
"Consumption Model",0.0343425234787523,0.101585645237781,0.997296984960056,0.985652942997842,"Rockweed"
"Consumption Model",0.116029147795434,0.10991727844156,0.991159125018788,0.986775505998803,"Clam_Ocean_Quahog"
"Consumption Model",0.0939553564304753,0.200445245764985,0.992625862056663,0.987830184947474,"Clam_Ocean_Quahog"
"Consumption Model",0.0892944672515167,0.114837121051731,0.997216511845519,0.988004229089404,"Oysters"
"Consumption Model",0.0516706779153518,0.0889241775245216,0.995759929354422,0.991104279195075,"Elver"
"Consumption Model",0.0825904581335112,0.178573670467416,0.998816088704626,0.991869042483733,"Clam_Northern_Quahog___Hard"
"Consumption Model",0.188499317636156,0.187578424995424,0.99282964616865,0.995118204155639,"Skates"
"Consumption Model",0.113303340247081,0.16601699384239,0.997741160102812,0.99539333300311,"Salmon_Atlantic"
"Exports Model",87270.894871021,159602.980826834,0.989221116080308,0.978628580130416,"Cucumber_Sea"
"Exports Model",126300.602175818,243913.802664463,0.994868467712622,0.980540621516616,"Hake_Silver__Whiting_"
"Exports Model",105984.845684943,131310.361904592,0.984287120598719,0.981442737103842,"Elver"
"Exports Model",98058.7575627324,250039.324280798,0.997323157349963,0.982455183472239,"Herring_Atlantic"
"Exports Model",120497.063825584,224309.298227584,0.995953280926544,0.984456730693943,"Herring_Atlantic"
"Exports Model",70908.9865425793,168743.534315189,0.996601631303129,0.985770092161312,"Oysters"
"Exports Model",93645.4416014636,146891.709865581,0.987336787544862,0.985854287730719,"Cucumber_Sea"
"Exports Model",116178.116609021,88654.381661474,0.98211640623271,0.989670796424025,"Elver"
"Exports Model",120490.21800566,150170.087724188,0.994873754093354,0.989703122695002,"Bloodworms"
"Exports Model",65992.9291079395,189066.434100033,0.998768132521239,0.99024815194418,"Flounder_Atlantic_Witch__Gray_Sole_"
"Landings Model",1843131.50155564,1420300.45274456,0.0102225213845251,3.47885954573524e-05,"Flounder_Yellowtail"
"Landings Model",689614.779995414,1142729.45678395,0.429980528224332,0.000977581503337327,"Oysters"
"Landings Model",1474886.12162611,1569075.65903178,0.0108005560029346,0.00354607607079736,"Wolffish_Atlantic"
"Landings Model",12935211.7802283,14422204.1072302,0.00991632424516889,0.00468763325128933,"Menhaden_Atlantic"
"Landings Model",3548177.85451636,3737088.83964756,0.00108760161607629,0.00578779570559616,"Cod_Atlantic"
"Landings Model",1589879.81349607,1752588.07605156,0.164105290245802,0.0155227571607418,"Haddock"
"Landings Model",5468736.32088061,5273077.93865043,0.0803518040351959,0.020009472325341,"Scallop_Sea"
"Landings Model",1279360.93200745,1282804.65023746,0.015278605627263,0.03042971374396,"Sandworms"
"Landings Model",2234159.44440496,2197261.22331083,0.929449652909651,0.0333608575420861,"Sea_Urchins_Green"
"Landings Model",979631.472237247,1077119.70127261,0.0165269667599905,0.0396187345939054,"Bloodworms"
"Market Value Model",0.0143857632609234,0.0552351649133974,0.919570049816412,0.800143301207785,"Seaweed_Unc"
"Market Value Model",0.0310347983684722,0.0103058081278163,0.842918348498805,0.837392099513727,"Seaweed_Unc"
"Market Value Model",0.178940313073217,0.19841721795967,0.93714841763395,0.935478896512769,"Salmon_Atlantic"
"Market Value Model",0.0976859919873362,0.191983005883777,0.993108745274876,0.952248253294357,"Yellow_Eel"
"Market Value Model",0.0271300857554437,0.021844677435121,0.951639004563396,0.95461764446118,"Cucumber_Sea"
"Market Value Model",0.0154174682033695,0.0359961025927047,0.993954967311958,0.965977083132081,"Monkfish"
"Market Value Model",0.0160247990768689,0.0448874934579787,0.995087100757877,0.969719560855603,"Redfish_Acadian_Ocean_Perch"
"Market Value Model",0.186036994990237,0.159567427169446,0.92872434508475,0.971489338101187,"Salmon_Atlantic"
"Market Value Model",0.0132837757789342,0.0154198814198995,0.970945052337334,0.976915081369228,"Skates"
"Market Value Model",0.00827496629004715,0.0108544170604396,0.993949612593626,0.982914191549421,"Shark_Dogfish"
