"Scenario","Species","Total_Landings_kg"
"Baseline","Yellow_Eel",61736.2818166667
"Baseline","Elver",195986.025691667
"Baseline","Cusk",598258.7248
"Baseline","Wolffish_Atlantic",710918.0612
"Baseline","Halibut_Atlantic",1053809.37165
"Extreme_Climate","Yellow_Eel",63891.2113333333
"Extreme_Climate","Elver",210264.973275
"Extreme_Climate","Wolffish_Atlantic",726548.971525
"Extreme_Climate","Cusk",1022747.78801667
"Extreme_Climate","Halibut_Atlantic",1041566.75031667
"Low_Climate","Yellow_Eel",61933.9126333333
"Low_Climate","Elver",197244.305108333
"Low_Climate","Wolffish_Atlantic",728131.048925
"Low_Climate","Cusk",916077.2425
"Low_Climate","Halibut_Atlantic",1049046.22104167
"Moderate_Climate","Yellow_Eel",62092.9067083333
"Moderate_Climate","Elver",199118.528258333
"Moderate_Climate","Wolffish_Atlantic",729577.638925
"Moderate_Climate","Halibut_Atlantic",1046348.0526
"Moderate_Climate","Cusk",1051605.34755
